session_id,message_index,t_start_sec,t_end_sec,emotion_visual_deployed,n_frames_with_face,fer_p_angry,fer_p_disgust,fer_p_fear,fer_p_happy,fer_p_neutral,fer_p_sad,fer_p_surprise
00_00_00_04_07_00_02,20,721.52,729.823,sad,3,6.836398725155183e-05,0.006907627868756757,2.4066131441388226e-06,3.251524375676516e-05,0.9891004480964936,7.781120243423861e-06,0.003880857070353815
00_00_00_04_07_00_02,22,802.117,804.61,neutral,3,4.999319722101654e-07,5.9291037570057036e-05,9.56354472020876e-07,0.00014870259874422712,0.9993122794723175,5.985286502519776e-06,0.00047228531842142434
00_00_00_04_07_00_02,24,1014.206,1019.704,neutral,3,2.0529981938856604e-05,0.00018631470749597487,7.375450063533367e-06,0.0002850872018729999,0.9960690070934134,0.00014205818450849366,0.003289627380706753
00_00_00_04_07_00_02,26,720.666,730.807,fear,3,2.3803787662793603e-05,0.0034371588153464757,3.6189502156077654e-05,6.656316966243168e-05,0.9889233809909458,0.005504809665664379,0.002008094068562025
00_00_00_04_07_00_02,28,966.76,973.697,neutral,3,1.2979336573200622e-05,0.0009996271969314908,1.8425761191032044e-06,2.7167252936388332e-05,0.9848666807708336,0.0002320392417727743,0.013859663624833408
00_00_00_04_07_00_02,30,801.627,805.71,neutral,3,2.523122575607623e-07,4.8342588518502336e-05,9.82926994497019e-07,0.00013322355869641947,0.9996027093465762,9.379032161968875e-06,0.000205110234794699
00_00_00_04_07_00_02,32,971.26,973.322,neutral,3,0.0007500353279009431,0.0034202993807467383,4.163424200434269e-05,0.001204410545612729,0.717149746309995,0.00020301738023366524,0.2772308568135066
00_00_00_04_07_00_02,34,971.26,973.322,neutral,3,0.0007500353279009431,0.0034202993807467383,4.163424200434269e-05,0.001204410545612729,0.717149746309995,0.00020301738023366524,0.2772308568135066
00_00_00_04_07_00_02,36,714.704,717.139,neutral,3,3.458158789710003e-05,0.0017513587735242967,3.2147258104314847e-05,0.0005685026568690978,0.9902292085102544,0.0003830733502537197,0.007001127863097165
00_00_00_04_07_00_02,38,959.465,966.76,neutral,3,0.0029008850067983546,0.0021485743961434916,9.847236605478508e-06,4.853969675538592e-05,0.9430662252245974,8.597747386522924e-06,0.05181733069171342
00_00_00_04_07_00_02,40,711.291,715.406,neutral,3,4.550929235013092e-06,0.0008479506900573318,4.068594663710048e-06,0.0001554942776528791,0.9977745424859099,6.587048146511348e-05,0.0011475225410159868
00_00_00_04_07_00_02,42,688.298,698.724,neutral,3,0.0001453537815867616,0.007828659354049777,4.653726046548078e-05,4.460451819116603e-05,0.9844615146982663,0.00014167583167159318,0.00733165455576901
00_00_00_04_07_00_02,44,687.26,692.22,neutral,3,0.00011391970008382093,0.008095021555518812,7.842980278554782e-06,0.0012761956046281105,0.7461401479457351,0.0001815725263817469,0.24418529968737382
00_00_00_04_07_00_02,46,717.477,719.812,neutral,3,1.3071004103028922e-05,0.0011886359520428434,1.1057398394792099e-05,0.00014139621802945152,0.9961595497656023,5.4382552328592946e-05,0.002431907109499044
00_00_00_04_07_00_02,48,774.26,785.26,neutral,2,0.008863696070388513,0.03585349018985689,0.00018705085045412655,0.011452458077546607,0.9253972046204855,0.0014545218592875676,0.016791578331980868
00_00_00_04_07_00_02,50,810.06,822.26,sad,3,3.6416380031566608e-06,0.0002323855160722944,9.82639162044306e-07,0.0011770460971173452,0.956686575038999,0.0002503718672233114,0.041648997203422716
00_00_00_04_07_00_02,52,848.117,862.26,neutral,3,1.8469278585611279e-06,0.0001494190964542832,2.6531723646964775e-06,0.00014979937682428355,0.9939417367750142,4.76802693694319e-05,0.005706864382114498
00_00_00_04_07_00_02,54,952.338,954.26,neutral,3,2.130481302396898e-07,0.000522472185790535,5.899267922012341e-08,0.00016997400873412566,0.9988544785936495,0.00028279087013079955,0.00017001230088564294
00_00_00_04_07_00_02,56,994.346,996.403,neutral,3,3.751901329265503e-07,0.0004282262657748129,5.750942162722626e-06,2.1273144183306507e-05,0.9975508759483697,0.0003211404772654394,0.0016723580321111064
00_00_00_04_07_00_02,58,971.26,974.26,sad,3,1.6330180292559784e-06,9.00202115938932e-05,5.790337954047897e-06,1.0233904874576937e-05,0.9996869107627329,1.821820450332881e-05,0.00018719356031202472
00_00_00_04_07_00_02,60,1015.76,1023.482,sad,3,1.3554582263191032e-06,0.00021422479965051844,5.024524136235283e-07,0.00035238917876174433,0.991124013507103,0.0022275246142858963,0.006079989989558859
00_00_00_04_07_00_02,62,1054.26,1061.26,neutral,3,0.006646805961409467,0.0010649855451547452,2.0228088887557556e-05,0.1291453929209715,0.8566511229199838,0.0011545823374338468,0.005316882226159259
00_00_00_04_07_00_02,64,1089.736,1094.112,neutral,3,7.182596688254808e-06,0.000220940412725385,1.7699105801645437e-05,0.006396417369631909,0.6567816178532059,0.007439276293513762,0.32913686636843326
00_00_00_05_03_00_00,1,30.16,44.58,neutral,3,0.00028211351810681663,0.057041856179114496,0.00013772324017947656,0.0018734682146788115,0.9380691100117601,0.0009455880069654435,0.0016501408291948025
00_00_00_05_03_00_00,3,54.441,68.141,neutral,3,0.00018543324004009778,0.059083357140979065,7.828678334796842e-06,0.0007655411766547251,0.9395283733041158,0.00015547856189650146,0.0002739878979789997
00_00_00_05_03_00_00,5,83.76,91.766,neutral,3,2.2560680069346297e-05,0.30618022861598815,4.611518154117588e-05,0.0005208311599691061,0.6929986711300098,0.00011302866892528657,0.00011856456349719981
00_00_00_05_03_00_00,7,117.193,123.778,neutral,3,2.2507243263796612e-05,0.04729171596397463,1.2327242910844899e-05,0.001084449502895956,0.9515432367106333,3.0688613715859675e-05,1.5074722605606087e-05
00_00_00_05_03_00_00,9,142.307,151.7,neutral,3,0.001890998584073093,0.25060184548611736,5.6251954512642565e-05,0.0008023421470113608,0.7211609374535358,0.002279842207262795,0.02320778216748706
00_00_00_05_03_00_00,11,172.167,184.705,neutral,3,5.929294815815613e-05,0.0762238042715582,7.280583361974019e-06,0.00036218515344266006,0.9228821489626808,7.461091750877702e-05,0.0003906771632892709
00_00_00_05_03_00_00,13,224.568,232.027,neutral,3,0.0001167191338712308,0.02703737957898677,8.805007841993356e-05,0.0002283200592410678,0.9675988739486863,0.004782915869942931,0.00014774133085185422
00_00_00_05_03_00_00,15,254.748,271.035,neutral,3,2.798633590968372e-05,0.0035512863158197825,2.714932550760729e-05,0.0042066179982197275,0.9912894089449537,0.0005385334399934396,0.0003590176395961908
